Kraków_City,Warszawa_City,Poznañ_City,floor,rooms,sq,year
1.00,0.00,0.00,1.00,5.00,140.00,2021.00
0.00,0.00,1.00,10.00,3.00,56.00,1970.00
0.00,0.00,1.00,1.00,3.00,112.80,2001.00
0.00,1.00,0.00,2.00,3.00,57.70,2020.00
0.00,0.00,1.00,3.00,5.00,164.00,2005.00
0.00,0.00,1.00,2.00,1.00,32.00,2021.00
0.00,1.00,0.00,0.00,4.00,91.00,2020.00
0.00,0.00,1.00,6.00,3.00,88.50,2008.00
1.00,0.00,0.00,2.00,1.00,40.12,2021.00
0.00,0.00,1.00,0.00,1.00,30.31,2007.00
0.00,0.00,1.00,3.00,2.00,39.26,2021.00
0.00,0.00,1.00,6.00,5.00,166.66,2018.00
0.00,0.00,1.00,5.00,2.00,42.45,2021.00
0.00,0.00,1.00,10.00,2.00,42.45,2015.00
1.00,0.00,0.00,1.00,3.00,53.00,2013.00
0.00,1.00,0.00,3.00,1.00,30.47,2022.00
0.00,0.00,1.00,3.00,2.00,51.60,2007.00
0.00,0.00,1.00,9.00,3.00,65.59,1976.00
1.00,0.00,0.00,1.00,2.00,46.00,2009.00
1.00,0.00,0.00,1.00,2.00,46.98,2022.00
0.00,0.00,1.00,0.00,3.00,47.00,1975.00
1.00,0.00,0.00,3.00,2.00,46.54,2021.00
0.00,0.00,1.00,3.00,2.00,46.00,1958.00
1.00,0.00,0.00,4.00,3.00,61.01,2002.00
0.00,0.00,1.00,8.00,3.00,65.30,1977.00
0.00,1.00,0.00,1.00,2.00,41.50,2020.00
1.00,0.00,0.00,7.00,3.00,59.09,2022.00
1.00,0.00,0.00,1.00,3.00,59.30,2011.00
1.00,0.00,0.00,4.00,2.00,55.76,2014.00
1.00,0.00,0.00,3.00,3.00,58.30,2021.00
0.00,0.00,1.00,3.00,1.00,25.00,2013.00
0.00,0.00,1.00,2.00,4.00,85.00,1992.00
0.00,0.00,1.00,0.00,3.00,67.50,2014.00
0.00,0.00,1.00,3.00,5.00,161.00,2001.00
0.00,1.00,0.00,4.00,3.00,64.30,2021.00
0.00,1.00,0.00,1.00,3.00,65.43,2020.00
1.00,0.00,0.00,6.00,7.00,195.00,2000.00
1.00,0.00,0.00,4.00,3.00,61.67,1980.00
0.00,0.00,1.00,0.00,2.00,44.26,2016.00
1.00,0.00,0.00,5.00,3.00,70.02,2021.00
0.00,0.00,1.00,0.00,3.00,46.00,1990.00
0.00,0.00,1.00,0.00,2.00,36.00,2005.00
0.00,0.00,1.00,9.00,3.00,60.40,1978.00
1.00,0.00,0.00,3.00,3.00,56.25,2006.00
0.00,0.00,1.00,1.00,4.00,56.00,1969.00
1.00,0.00,0.00,3.00,3.00,83.42,2021.00
0.00,0.00,1.00,1.00,3.00,62.10,1968.00
1.00,0.00,0.00,3.00,2.00,54.38,2001.00
1.00,0.00,0.00,4.00,2.00,28.36,2021.00
0.00,1.00,0.00,3.00,3.00,68.63,2020.00
0.00,0.00,1.00,3.00,2.00,49.80,1997.00
0.00,0.00,1.00,9.00,2.00,44.20,2003.00
0.00,1.00,0.00,0.00,2.00,42.96,2022.00
0.00,0.00,1.00,8.00,4.00,67.00,1975.00
0.00,0.00,1.00,6.00,2.00,47.29,2021.00
0.00,0.00,1.00,5.00,1.00,19.00,1955.00
1.00,0.00,0.00,1.00,2.00,42.21,2021.00
0.00,1.00,0.00,0.00,3.00,44.51,2022.00
0.00,1.00,0.00,0.00,2.00,32.00,2020.00
1.00,0.00,0.00,0.00,3.00,48.00,2019.00
0.00,0.00,1.00,5.00,3.00,50.00,1974.00
0.00,1.00,0.00,0.00,3.00,67.44,2021.00
0.00,0.00,1.00,7.00,2.00,48.58,1972.00
0.00,0.00,1.00,1.00,3.00,51.34,2022.00
0.00,1.00,0.00,1.00,2.00,28.07,1905.00
1.00,0.00,0.00,8.00,2.00,37.00,1970.00
0.00,0.00,1.00,4.00,4.00,63.00,1975.00
0.00,1.00,0.00,1.00,2.00,47.28,2021.00
1.00,0.00,0.00,2.00,2.00,36.68,2022.00
1.00,0.00,0.00,2.00,4.00,71.82,2022.00
0.00,0.00,1.00,10.00,4.00,86.00,2021.00
0.00,1.00,0.00,1.00,2.00,42.55,1900.00
0.00,0.00,1.00,2.00,4.00,178.89,2021.00
0.00,0.00,1.00,3.00,3.00,53.50,1978.00
1.00,0.00,0.00,3.00,2.00,56.00,1998.00
0.00,1.00,0.00,4.00,3.00,77.36,2020.00
1.00,0.00,0.00,2.00,3.00,64.28,2020.00
1.00,0.00,0.00,3.00,3.00,89.42,2006.00
0.00,0.00,1.00,8.00,2.00,28.00,1983.00
0.00,1.00,0.00,5.00,1.00,26.76,2022.00
0.00,0.00,1.00,3.00,1.00,30.00,2004.00
0.00,0.00,1.00,1.00,3.00,89.40,2006.00
0.00,0.00,1.00,4.00,2.00,44.20,2010.00
1.00,0.00,0.00,5.00,1.00,27.67,2020.00
0.00,1.00,0.00,1.00,2.00,51.01,2021.00
1.00,0.00,0.00,0.00,3.00,52.30,2017.00
0.00,0.00,1.00,2.00,4.00,121.00,1997.00
0.00,1.00,0.00,0.00,2.00,45.00,2020.00
0.00,0.00,1.00,10.00,4.00,74.80,1973.00
0.00,0.00,1.00,3.00,4.00,68.00,2021.00
1.00,0.00,0.00,0.00,2.00,44.00,2022.00
0.00,0.00,1.00,2.00,2.00,45.04,2021.00
0.00,0.00,1.00,1.00,2.00,43.00,2020.00
0.00,1.00,0.00,6.00,3.00,63.40,1980.00
